physical,electrical
1,1
33,129
65,257
97,385
129,513
161,641
193,769
225,897
257,33
289,161
321,289
353,417
385,545
417,673
449,801
481,929
513,65
545,193
577,321
609,449
641,577
673,705
705,833
737,961
769,97
801,225
833,353
865,481
897,609
929,737
961,865
993,993
2,2
34,130
66,258
98,386
130,514
162,642
194,770
226,898
258,34
290,162
322,290
354,418
386,546
418,674
450,802
482,930
514,66
546,194
578,322
610,450
642,578
674,706
706,834
738,962
770,98
802,226
834,354
866,482
898,610
930,738
962,866
994,994
3,3
35,131
67,259
99,387
131,515
163,643
195,771
227,899
259,35
291,163
323,291
355,419
387,547
419,675
451,803
483,931
515,67
547,195
579,323
611,451
643,579
675,707
707,835
739,963
771,99
803,227
835,355
867,483
899,611
931,739
963,867
995,995
4,4
36,132
68,260
100,388
132,516
164,644
196,772
228,900
260,36
292,164
324,292
356,420
388,548
420,676
452,804
484,932
516,68
548,196
580,324
612,452
644,580
676,708
708,836
740,964
772,100
804,228
836,356
868,484
900,612
932,740
964,868
996,996
5,5
37,133
69,261
101,389
133,517
165,645
197,773
229,901
261,37
293,165
325,293
357,421
389,549
421,677
453,805
485,933
517,69
549,197
581,325
613,453
645,581
677,709
709,837
741,965
773,101
805,229
837,357
869,485
901,613
933,741
965,869
997,997
6,6
38,134
70,262
102,390
134,518
166,646
198,774
230,902
262,38
294,166
326,294
358,422
390,550
422,678
454,806
486,934
518,70
550,198
582,326
614,454
646,582
678,710
710,838
742,966
774,102
806,230
838,358
870,486
902,614
934,742
966,870
998,998
7,7
39,135
71,263
103,391
135,519
167,647
199,775
231,903
263,39
295,167
327,295
359,423
391,551
423,679
455,807
487,935
519,71
551,199
583,327
615,455
647,583
679,711
711,839
743,967
775,103
807,231
839,359
871,487
903,615
935,743
967,871
999,999
8,8
40,136
72,264
104,392
136,520
168,648
200,776
232,904
264,40
296,168
328,296
360,424
392,552
424,680
456,808
488,936
520,72
552,200
584,328
616,456
648,584
680,712
712,840
744,968
776,104
808,232
840,360
872,488
904,616
936,744
968,872
1000,1000
9,9
41,137
73,265
105,393
137,521
169,649
201,777
233,905
265,41
297,169
329,297
361,425
393,553
425,681
457,809
489,937
521,73
553,201
585,329
617,457
649,585
681,713
713,841
745,969
777,105
809,233
841,361
873,489
905,617
937,745
969,873
1001,1001
10,10
42,138
74,266
106,394
138,522
170,650
202,778
234,906
266,42
298,170
330,298
362,426
394,554
426,682
458,810
490,938
522,74
554,202
586,330
618,458
650,586
682,714
714,842
746,970
778,106
810,234
842,362
874,490
906,618
938,746
970,874
1002,1002
11,11
43,139
75,267
107,395
139,523
171,651
203,779
235,907
267,43
299,171
331,299
363,427
395,555
427,683
459,811
491,939
523,75
555,203
587,331
619,459
651,587
683,715
715,843
747,971
779,107
811,235
843,363
875,491
907,619
939,747
971,875
1003,1003
12,12
44,140
76,268
108,396
140,524
172,652
204,780
236,908
268,44
300,172
332,300
364,428
396,556
428,684
460,812
492,940
524,76
556,204
588,332
620,460
652,588
684,716
716,844
748,972
780,108
812,236
844,364
876,492
908,620
940,748
972,876
1004,1004
13,13
45,141
77,269
109,397
141,525
173,653
205,781
237,909
269,45
301,173
333,301
365,429
397,557
429,685
461,813
493,941
525,77
557,205
589,333
621,461
653,589
685,717
717,845
749,973
